department,NACE,workforce
24,20.41,4.5
24,23.32,4.5
24,23.69,4.5
24,25.40,4.5
24,25.71,4.5
24,25.72,4.5
24,25.99,4.5
24,25.99,4.5
24,27.12,4.5
24,27.51,4.5
24,28.93,4.5
24,31.03,4.5
24,33.20,4.5
24,35.12,4.5
24,35.30,4.5
24,38.31,4.5
24,42.13,4.5
24,43.11,4.5
24,43.99,4.5
24,43.99,4.5
24,45.20,4.5
24,46.18,4.5
24,46.19,4.5
24,46.22,4.5
24,46.46,4.5
24,46.49,4.5
24,46.51,4.5
24,46.71,4.5
24,46.76,4.5
24,47.41,4.5
24,47.74,4.5
24,47.99,4.5
24,49.41,4.5
24,51.10,4.5
24,58.13,4.5
24,60.20,4.5
24,64.30,4.5
24,66.22,4.5
24,68.32,4.5
24,70.21,4.5
24,77.11,4.5
24,81.29,4.5
24,82.11,4.5
24,85.52,4.5
24,86.22,4.5
24,91.02,4.5
24,92.00,4.5
24,93.21,4.5
24,95.11,4.5
25,01.61,4.5
25,10.20,4.5
25,10.51,4.5
25,10.71,4.5
25,10.86,4.5
25,10.89,4.5
25,11.01,4.5
25,11.07,4.5
25,14.13,4.5
25,16.29,4.5
25,20.11,4.5
25,23.44,4.5
25,23.70,4.5
25,24.44,4.5
25,26.30,4.5
25,26.70,4.5
25,28.12,4.5
25,28.93,4.5
25,29.20,4.5
25,31.02,4.5
25,31.03,4.5
25,31.09,4.5
25,32.30,4.5
25,33.13,4.5
25,33.14,4.5
25,35.12,4.5
25,38.22,4.5
25,43.21,4.5
25,43.29,4.5
25,43.32,4.5
25,45.40,4.5
25,46.13,4.5
25,46.19,4.5
25,46.33,4.5
25,46.38,4.5
25,46.42,4.5
25,46.44,4.5
25,46.65,4.5
25,46.69,4.5
25,47.11,4.5
25,47.26,4.5
25,47.41,4.5
25,47.43,4.5
25,47.72,4.5
25,47.99,4.5
25,47.99,4.5
25,49.50,4.5
25,55.30,4.5
25,56.21,4.5
25,62.09,4.5
25,63.11,4.5
25,64.91,4.5
25,64.92,4.5
25,66.19,4.5
25,66.30,4.5
25,70.21,4.5
25,71.12,4.5
25,74.90,4.5
25,79.11,4.5
25,81.29,4.5
25,82.11,4.5
25,82.20,4.5
