"annee","departement","naf","taille","nombre",
2018,"02","02.40Z","11",5,"02"
2018,"02","03.22Z","11",1,"03"
2018,"02","08.11Z","11",1,"08"
2018,"02","08.12Z","11",2,"08"
2018,"02","10.39B","11",1,"10"
2018,"02","10.51A","11",2,"10"
2018,"02","10.51C","11",1,"10"
2018,"02","10.61A","11",1,"10"
2018,"02","10.71A","11",2,"10"
2018,"02","10.71B","11",2,"10"
2018,"02","10.71C","11",17,"10"
2018,"02","11.02B","11",2,"11"
2018,"02","11.07B","11",1,"11"
2018,"02","13.92Z","11",1,"13"
2018,"02","13.96Z","11",2,"13"
2018,"02","13.99Z","11",3,"13"
2018,"02","14.12Z","11",1,"14"
2018,"02","16.10A","11",1,"16"
2018,"02","16.23Z","11",1,"16"
2018,"02","16.24Z","11",5,"16"
2018,"02","16.29Z","11",1,"16"
2018,"02","17.12Z","11",1,"17"
2018,"02","17.21B","11",1,"17"
2018,"02","18.12Z","11",1,"18"
2018,"02","18.13Z","11",1,"18"
2018,"02","20.13B","11",1,"20"
2018,"02","20.41Z","11",1,"20"
2018,"02","22.19Z","11",1,"22"
2018,"02","22.21Z","11",1,"22"
2018,"02","22.23Z","11",1,"22"
2018,"02","22.29A","11",1,"22"
2018,"02","22.29B","11",1,"22"
2018,"02","23.61Z","11",1,"23"
2018,"02","23.70Z","11",2,"23"
2018,"02","23.99Z","11",1,"23"
2018,"02","24.53Z","11",1,"24"
2018,"02","25.11Z","11",8,"25"
2018,"02","25.50B","11",2,"25"
2018,"02","25.61Z","11",3,"25"
2018,"02","25.62B","11",11,"25"
2018,"02","25.73A","11",1,"25"
2018,"02","25.73B","11",1,"25"
2018,"02","27.12Z","11",2,"27"
2018,"02","27.33Z","11",1,"27"
2018,"02","27.40Z","11",1,"27"
2018,"02","27.51Z","11",1,"27"
2018,"02","27.90Z","11",1,"27"
2018,"02","28.25Z","11",1,"28"
2018,"02","28.29A","11",1,"28"
2018,"02","28.30Z","11",6,"28"
2018,"02","28.93Z","11",1,"28"
2018,"02","29.20Z","11",3,"29"
2018,"02","32.50A","11",1,"32"
2018,"02","32.91Z","11",1,"32"
2018,"02","32.99Z","11",1,"32"
2018,"02","33.11Z","11",2,"33"
2018,"02","33.12Z","11",4,"33"
2018,"02","33.14Z","11",2,"33"
2018,"02","33.19Z","11",1,"33"
2018,"02","33.20A","11",4,"33"
2018,"02","33.20B","11",4,"33"
2018,"02","35.12Z","11",1,"35"
2018,"02","35.13Z","11",1,"35"
2018,"02","35.22Z","11",3,"35"
2018,"02","36.00Z","11",4,"36"
2018,"02","37.00Z","11",2,"37"
2018,"02","38.11Z","11",5,"38"
2018,"02","38.22Z","11",1,"38"
2018,"02","38.32Z","11",5,"38"
2018,"02","41.10A","11",1,"41"
2018,"02","41.20A","11",5,"41"
2018,"02","42.11Z","11",2,"42"
2018,"02","42.22Z","11",1,"42"
2018,"02","42.91Z","11",1,"42"
2018,"02","42.99Z","11",1,"42"
2018,"02","43.11Z","11",1,"43"
2018,"02","43.12A","11",5,"43"
2018,"02","43.12B","11",1,"43"
2018,"02","43.21A","11",11,"43"
2018,"02","43.22A","11",2,"43"
2018,"02","43.22B","11",10,"43"
2018,"02","43.29A","11",4,"43"
2018,"02","43.31Z","11",4,"43"
2018,"02","43.32A","11",12,"43"
2018,"02","43.32B","11",6,"43"
2018,"02","43.32C","11",1,"43"
2018,"02","43.33Z","11",4,"43"
2018,"02","43.34Z","11",8,"43"
2018,"02","43.39Z","11",1,"43"
2018,"02","43.91A","11",2,"43"
2018,"02","43.91B","11",9,"43"
2018,"02","43.99A","11",1,"43"
2018,"02","43.99C","11",17,"43"
2018,"02","45.11Z","11",23,"45"
2018,"02","45.19Z","11",3,"45"
2018,"02","45.20A","11",10,"45"
2018,"02","45.20B","11",2,"45"
2018,"02","45.31Z","11",3,"45"
2018,"02","45.32Z","11",11,"45"
2018,"02","46.18Z","11",1,"46"
2018,"02","46.21Z","11",3,"46"
2018,"02","46.23Z","11",1,"46"
2018,"02","46.31Z","11",2,"46"
2018,"02","46.32C","11",1,"46"
2018,"02","46.33Z","11",1,"46"
2018,"02","46.34Z","11",3,"46"
2018,"02","46.41Z","11",2,"46"
2018,"02","46.43Z","11",1,"46"
2018,"02","46.49Z","11",2,"46"
2018,"02","46.51Z","11",2,"46"
2018,"02","46.61Z","11",14,"46"
2018,"02","46.62Z","11",1,"46"
2018,"02","46.63Z","11",1,"46"
2018,"02","46.69A","11",3,"46"
2018,"02","46.69B","11",5,"46"
2018,"02","46.69C","11",1,"46"
2018,"02","46.71Z","11",2,"46"
2018,"02","46.73A","11",10,"46"
2018,"02","46.73B","11",2,"46"
2018,"02","46.74A","11",2,"46"
2018,"02","46.75Z","11",2,"46"
2018,"02","46.90Z","11",2,"46"
2018,"02","47.11A","11",1,"47"
2018,"02","47.11B","11",2,"47"
2018,"02","47.11C","11",1,"47"
2018,"02","47.11D","11",31,"47"
2018,"02","47.19B","11",1,"47"
2018,"02","47.22Z","11",7,"47"
2018,"02","47.24Z","11",1,"47"
2018,"02","47.30Z","11",4,"47"
2018,"02","47.42Z","11",4,"47"
2018,"02","47.52A","11",1,"47"
2018,"02","47.52B","11",8,"47"
2018,"02","47.54Z","11",2,"47"
2018,"02","47.59A","11",3,"47"
2018,"02","47.59B","11",2,"47"
2018,"02","47.61Z","11",1,"47"
2018,"02","47.64Z","11",5,"47"
2018,"02","47.71Z","11",7,"47"
2018,"02","47.73Z","11",14,"47"
2018,"02","47.74Z","11",2,"47"
2018,"02","47.75Z","11",4,"47"
2018,"02","47.76Z","11",9,"47"
2018,"02","47.78A","11",1,"47"
2018,"02","47.91A","11",1,"47"
2018,"02","49.31Z","11",1,"49"
2018,"02","49.32Z","11",1,"49"
2018,"02","49.39A","11",1,"49"
2018,"02","49.39B","11",1,"49"
2018,"02","49.41A","11",12,"49"
2018,"02","49.41B","11",14,"49"
2018,"02","49.42Z","11",3,"49"
2018,"02","49.50Z","11",1,"49"
2018,"02","52.10B","11",4,"52"
2018,"02","52.21Z","11",7,"52"
2018,"02","52.29B","11",3,"52"
2018,"02","53.10Z","11",15,"53"
2018,"02","55.10Z","11",9,"55"
2018,"02","55.30Z","11",1,"55"
2018,"02","55.90Z","11",2,"55"
2018,"02","56.10A","11",33,"56"
2018,"02","56.10B","11",1,"56"
2018,"02","56.10C","11",7,"56"
2018,"02","56.29A","11",1,"56"
2018,"02","56.29B","11",3,"56"
2018,"02","56.30Z","11",1,"56"
2018,"02","58.13Z","11",1,"58"
2018,"02","58.29C","11",1,"58"
2018,"02","59.14Z","11",2,"59"
2018,"02","59.20Z","11",1,"59"
2018,"02","61.10Z","11",2,"61"
2018,"02","62.02B","11",2,"62"
2018,"02","62.03Z","11",1,"62"
2018,"02","63.12Z","11",1,"63"
2018,"02","64.11Z","11",1,"64"
