,src,dest,weight
7757,02.30,03.11,0.7724487398339603
7758,02.30,03.12,0.7724487398339603
7792,02.30,10.83,0.8061093292654026
8012,03.11,01.22,0.7756130189709394
8018,03.11,01.28,0.7587819528800956
8024,03.11,01.44,0.7738022377453024
8032,03.11,02.30,0.7724487398339603
8034,03.11,03.12,1.0
8035,03.11,03.21,0.7796751096053665
8036,03.11,03.22,0.7796751096053665
8048,03.11,08.93,0.770337338107809
8053,03.11,10.20,0.9383823646169505
8069,03.11,10.84,0.8005128017815749
8082,03.11,12.00,0.7563729686024774
8088,03.11,13.94,0.7572646525510071
8095,03.11,14.14,0.7522560693257029
8288,03.12,01.22,0.7756130189709394
8294,03.12,01.28,0.7587819528800956
8300,03.12,01.44,0.7738022377453024
8308,03.12,02.30,0.7724487398339603
8309,03.12,03.11,1.0
8311,03.12,03.21,0.7796751096053665
8312,03.12,03.22,0.7796751096053665
8324,03.12,08.93,0.770337338107809
8329,03.12,10.20,0.9383823646169505
8345,03.12,10.84,0.8005128017815749
8358,03.12,12.00,0.7563729686024774
8364,03.12,13.94,0.7572646525510071
8371,03.12,14.14,0.7522560693257029
8576,03.21,01.44,0.9969815972766
8580,03.21,01.49,0.7728651567143618
8585,03.21,03.11,0.7796751096053665
8586,03.21,03.12,0.7796751096053665
8588,03.21,03.22,0.9999999999999999
8852,03.22,01.44,0.9969815972766
8856,03.22,01.49,0.7728651567143618
8861,03.22,03.11,0.7796751096053665
8862,03.22,03.12,0.7796751096053665
8863,03.22,03.21,0.9999999999999999
9145,05.10,07.10,0.7640469413568041
9282,05.10,24.46,0.767954610731417
9696,06.10,06.20,0.7693599265200999
9774,06.10,19.20,0.7711618034154625
9971,06.20,06.10,0.7693599265200999
10050,06.20,19.20,0.8111233667320905
10245,07.10,05.10,0.7640469413568041
10251,07.10,07.29,0.7725231576334644
10801,07.29,07.10,0.7725231576334644
11042,08.11,01.13,0.7924061995842644
11047,08.11,01.21,0.7561450877944262
11082,08.11,08.91,0.7528114679071873
11092,08.11,10.39,0.8043550866641972
11193,08.11,23.52,0.7919760444261137
11200,08.11,23.70,0.7517514730162611
11369,08.12,10.41,0.7678073003056809
11573,08.12,35.11,0.7663851535418823
11576,08.12,38.11,0.7698274832928869
11632,08.91,08.11,0.7528114679071873
11890,08.92,01.46,0.7566237547508563
12146,08.93,01.13,0.7715156119200273
12147,08.93,01.14,0.7547053089372375
12152,08.93,01.22,0.7545005107832026
12153,08.93,01.23,0.7632781675087639
12156,08.93,01.26,0.7742609010409827
12168,08.93,01.49,0.7650439415180312
12173,08.93,03.11,0.770337338107809
12174,08.93,03.12,0.770337338107809
12193,08.93,10.20,0.7888474434664167
12196,08.93,10.39,0.7628476501868444
